block,count_main_sequence,first_trial_timestamp,fname,response_catch_response,response_time_catch_response,subject_nr,time_stimulus,time_to_pad,timing
P,NA,258238,vowelstep1_catch.wav,None,1000,12,258253,0,
P,NA,258238,sinestep7_catch.wav,None,1000,12,260253,431,
P,NA,258238,vowelstep5_catch.wav,3,331,12,262253,434,
P,NA,258238,sinestep7.wav,3,814,12,264253,1112,
P,NA,258238,sinestep7.wav,3,276,12,266254,629,
P,NA,258238,sinestep3.wav,3,251,12,268254,1166,
P,NA,258238,sinestep1.wav,3,268,12,270254,1155,
P,NA,258238,vowelstep7.wav,3,605,12,272254,1164,
P,NA,258238,vowelstep3.wav,3,366,12,274253,827,
P,NA,258238,silence.wav,None,1000,12,276253,1067,
P,NA,258238,sinestep1.wav,3,815,12,278253,443,
P,NA,258238,vowelstep1.wav,4,925,12,280253,627,
P,NA,258238,sinestep5.wav,3,508,12,282253,517,
P,NA,258238,sinestep1.wav,3,484,12,284254,934,
P,NA,258238,sinestep1.wav,3,308,12,286254,967,
P,NA,258238,vowelstep1.wav,4,329,12,288254,1123,
P,NA,258238,silence.wav,None,1000,12,290254,1103,
P,NA,258238,silence.wav,None,1000,12,292254,432,
P,NA,258238,silence.wav,None,1000,12,294254,442,
P,NA,258238,sinestep3_catch.wav,4,154,12,296254,442,
P,NA,258238,vowelstep7.wav,4,533,12,298253,1263,
P,NA,258238,silence.wav,None,1000,12,300253,888,
P,NA,258238,vowelstep7.wav,4,229,12,302254,431,
P,NA,258238,vowelstep3.wav,4,187,12,304254,1201,
P,NA,258238,silence.wav,None,1000,12,306254,1253,
P,NA,258238,vowelstep1.wav,4,111,12,308254,441,
P,NA,258238,sinestep3.wav,4,471,12,310254,1329,
P,NA,258238,vowelstep1.wav,3,467,12,312254,969,
P,NA,258238,silence.wav,None,1000,12,314254,963,
P,NA,258238,sinestep7.wav,None,1000,12,316254,428,
P,NA,258238,sinestep5_catch.wav,3,362,12,318254,430,
P,NA,258238,silence.wav,None,1000,12,320255,1067,
P,NA,258238,sinestep7.wav,3,193,12,322255,440,
P,NA,258238,sinestep5.wav,3,343,12,324254,1247,
P,NA,258238,sinestep3.wav,3,375,12,326254,1093,
P,NA,258238,sinestep1_catch.wav,3,456,12,328254,1044,
P,NA,258238,vowelstep3_catch.wav,4,517,12,330254,973,
P,NA,258238,vowelstep5_catch.wav,4,317,12,332254,912,
P,NA,258238,vowelstep7.wav,4,493,12,334254,1112,
P,NA,258238,silence.wav,None,1000,12,336255,946,
P,NA,258238,vowelstep7_catch.wav,3,244,12,338255,436,
P,NA,258238,vowelstep3.wav,3,268,12,340255,1192,
P,NA,258238,silence.wav,None,1000,12,342255,1149,
P,NA,258238,sinestep7_catch.wav,3,188,12,344255,428,
P,NA,258238,sinestep7.wav,3,404,12,346255,1239,
P,NA,258238,vowelstep5.wav,3,796,12,348254,1024,
P,NA,258238,vowelstep3.wav,3,662,12,350254,637,
P,NA,258238,sinestep5.wav,3,584,12,352254,776,
P,NA,258238,sinestep5_catch.wav,None,1000,12,354255,854,
P,NA,258238,sinestep3.wav,3,378,12,356255,448,
P,NA,258238,silence.wav,None,1000,12,358255,1049,
P,NA,258238,vowelstep7.wav,3,222,12,360255,427,
P,NA,258238,sinestep3_catch.wav,4,366,12,362255,1205,
P,NA,258238,vowelstep5.wav,4,374,12,364255,1061,
P,NA,258238,silence.wav,None,1000,12,366255,1063,
P,NA,258238,sinestep1.wav,4,283,12,368255,437,
P,NA,258238,vowelstep1.wav,4,338,12,370255,1164,
P,NA,258238,silence.wav,None,1000,12,372255,1079,
P,NA,258238,silence.wav,None,1000,12,374255,425,
P,NA,258238,silence.wav,None,1000,12,376255,322,
P,NA,258238,sinestep1_catch.wav,4,112,12,378255,425,
P,NA,258238,sinestep1.wav,4,276,12,380255,1324,
P,NA,258238,silence.wav,None,1000,12,382255,1160,
P,NA,258238,vowelstep1_catch.wav,4,177,12,384255,436,
P,NA,258238,vowelstep5.wav,4,271,12,386255,1225,
P,NA,258238,sinestep5.wav,4,420,12,388255,1152,
P,NA,258238,vowelstep3.wav,4,405,12,390256,1004,
P,NA,258238,silence.wav,None,1000,12,392256,1019,
P,NA,258238,silence.wav,None,1000,12,394256,435,
P,NA,258238,sinestep7.wav,3,43,12,396255,435,
P,NA,258238,vowelstep5.wav,3,355,12,398255,1402,
P,NA,258238,silence.wav,None,1000,12,400255,1090,
P,NA,258238,vowelstep3_catch.wav,3,154,12,402255,446,
P,NA,258238,silence.wav,None,1000,12,404255,1287,
P,NA,258238,vowelstep5.wav,3,238,12,406256,455,
P,NA,258238,vowelstep5_catch.wav,3,118,12,408256,1196,
P,NA,258238,vowelstep7_catch.wav,3,187,12,410256,1315,
P,NA,258238,sinestep3.wav,3,334,12,412256,1247,
P,NA,258238,vowelstep5.wav,3,308,12,414256,1110,
P,NA,258238,vowelstep3.wav,3,276,12,416256,1136,
P,NA,258238,silence.wav,None,1000,12,418256,1178,
P,NA,258238,sinestep3.wav,3,147,12,420255,434,
P,NA,258238,silence.wav,None,1000,12,422255,1286,
P,NA,258238,sinestep7_catch.wav,3,117,12,424256,434,
P,NA,258238,sinestep5_catch.wav,3,194,12,426256,1315,
P,NA,258238,sinestep5.wav,3,280,12,428256,1249,
P,NA,258238,sinestep5.wav,3,238,12,430256,1163,
P,NA,258238,vowelstep7.wav,3,440,12,432256,1203,
P,NA,258238,sinestep3_catch.wav,3,746,12,434256,983,
P,NA,258238,vowelstep1.wav,3,332,12,436256,684,
F,0,851166,sinestep1.wav,None,1000,12,851179,0,1.285
F,0,851166,vowelstep5.wav,None,1000,12,853179,331,3.285
F,0,851166,vowelstep3.wav,None,1000,12,855179,336,5.285
F,0,851166,sinestep5.wav,None,1000,12,857179,331,7.285
F,0,851166,vowelstep7.wav,None,1000,12,859179,344,9.285
F,0,851166,silence.wav,None,1000,12,861180,342,11.285
F,0,851166,vowelstep5.wav,None,1000,12,863180,341,13.285
F,0,851166,sinestep3.wav,None,1000,12,865180,355,15.285
F,0,851166,sinestep3.wav,None,1000,12,867180,335,17.285
F,0,851166,silence.wav,None,1000,12,869180,335,19.285
F,0,851166,vowelstep7.wav,None,1000,12,871180,335,21.285
F,0,851166,vowelstep7.wav,None,1000,12,873180,343,23.285
F,0,851166,vowelstep1_catch.wav,3,463,12,875179,342,25.285
F,0,851166,vowelstep3_catch.wav,3,99,12,877179,882,27.285
F,0,851166,vowelstep1.wav,None,1000,12,879180,1255,29.285
F,0,851166,sinestep5.wav,None,1000,12,881180,333,31.285
F,0,851166,sinestep5.wav,None,1000,12,883180,334,33.285
F,0,851166,vowelstep7.wav,None,1000,12,885180,335,35.285
F,0,851166,sinestep3.wav,None,1000,12,887180,344,37.285
F,0,851166,sinestep7.wav,None,1000,12,889180,341,39.285
F,0,851166,vowelstep5_catch.wav,3,172,12,891180,340,41.285
F,0,851166,sinestep1.wav,None,1000,12,893180,1175,43.285
F,0,851166,vowelstep7_catch.wav,3,256,12,895180,325,45.285
F,0,851166,vowelstep3.wav,None,1000,12,897181,1072,47.285
F,0,851166,sinestep1.wav,None,1000,12,899180,333,49.285
F,0,851166,sinestep7.wav,None,1000,12,901180,343,51.285
F,0,851166,silence.wav,None,1000,12,903180,334,53.285
F,0,851166,sinestep7.wav,None,1000,12,905180,344,55.285
F,0,851166,vowelstep1.wav,None,1000,12,907180,344,57.285
F,0,851166,vowelstep3.wav,None,1000,12,909180,250,59.285
F,0,851166,vowelstep7_catch.wav,3,252,12,911180,320,61.285
F,0,851166,sinestep5.wav,None,1000,12,913181,1052,63.285
F,0,851166,sinestep3.wav,None,1000,12,915181,332,65.285
F,0,851166,vowelstep3.wav,None,1000,12,917181,343,67.285
F,0,851166,silence.wav,None,1000,12,919181,337,69.285
F,0,851166,vowelstep1.wav,3,324,12,921181,342,71.285
F,0,851166,vowelstep1.wav,None,1000,12,923181,1027,73.285
F,0,851166,vowelstep5_catch.wav,3,205,12,925180,333,75.285
F,0,851166,silence.wav,None,1000,12,927180,1126,77.285
F,0,851166,vowelstep3.wav,None,1000,12,929180,332,79.285
